,Unnamed: 0,GENRE,authorKorean,authorEnglish,workTitle,translator,sourceTitle,publisher,yearCreated,authorEnglish2
2071,2071,Play,이윤택,Lee Yun-Taek,Citizen K,"Kim Dong-Wook, Richard Nichols",Four Contemporary Korean Plays,University Press of America,2007.0,Lee Yun Taek/Lee Yun-Taek
2072,2072,Play,이윤택,Lee Yun-Taek,Dummy Bride: A Ceremony Of Love,"Kim Dong-Wook, Richard Nichols",Four Contemporary Korean Plays,University Press of America,2007.0,Lee Yun Taek/Lee Yun-Taek
2073,2073,Play,이윤택,Lee Yun-Taek,Mask Of Fire: A Ceremony Of Power,"Kim Dong-Wook, Richard Nichols",Four Contemporary Korean Plays,University Press of America,2007.0,Lee Yun Taek/Lee Yun-Taek
2074,2074,Play,이윤택,Lee Yun-Taek,O-Gu: A Ceremony Of Death,"Kim Dong-Wook, Richard Nichols",Four Contemporary Korean Plays,University Press of America,2007.0,Lee Yun Taek/Lee Yun-Taek
2096,2096,Children,김소운,KIM SO-UN,The Deer and the Woodcutter, ,Three Korean Fairy Tales Beloved Stories And Legends,Tuttle Publishing*,2019.0,KIM SO UN/KIM SO-UN
2097,2097,Children,김소운,KIM SO-UN,The Magic Gem, ,Three Korean Fairy Tales Beloved Stories And Legends,Tuttle Publishing*,2019.0,KIM SO UN/KIM SO-UN
2098,2098,Children,김소운,KIM SO-UN,The Tigers of the Kumgang Mountains, ,Three Korean Fairy Tales Beloved Stories And Legends,Tuttle Publishing*,2019.0,KIM SO UN/KIM SO-UN
2198,2198,Classic/General, , ,Hahoe Pyŏlsin-kut,Cho Oh-Kon,Traditional Korean Theatre,Asian Humanities Press,1988.0, 
2199,2199,Classic/General, , ,Kkoktu Kaksi : Puppet Play,Cho Oh-Kon,Traditional Korean Theatre,Asian Humanities Press,1988.0, 
2200,2200,Classic/General, , ,Pongsan T̕alch̕um,Cho Oh-Kon,Traditional Korean Theatre,Asian Humanities Press,1988.0, 
2201,2201,Classic/General, , ,Suyŏng Yayu,Cho Oh-Kon,Traditional Korean Theatre,Asian Humanities Press,1988.0, 
2202,2202,Classic/General, , ,T̕ongyŏng Ogwangdae,Cho Oh-Kon,Traditional Korean Theatre,Asian Humanities Press,1988.0, 
2203,2203,Classic/General, , ,Yangju Pyŏlsandae,Cho Oh-Kon,Traditional Korean Theatre,Asian Humanities Press,1988.0, 
2371,2371,Classic/Fiction, , ,All Walks Of Life,Ally Hwang,All Walks Of Life (Korean Classic Stories: V. 4),Seoul Selection,2013.0, 
2373,2373,Classic/Fiction,박지원,Pak Ji-Won,Hozil' Or The Tiger's Admonition,Moon Hi Kyung,Korean Classical Literature: An Anthology,Kegan Paul International,1989.0,Pak Ji Won/Pak Ji-Won
2374,2374,Classic/Fiction,박지원,Pak Ji-Won,The Tale Of Huh-Saeng,Moon Hi Kyung,Korean Classical Literature: An Anthology,Kegan Paul International,1989.0,Pak Ji Won/Pak Ji-Won
2375,2375,Classic/Fiction,박지원,Pak Ji-Won,The Tale Of Yangban,Moon Hi Kyung,Korean Classical Literature: An Anthology,Kegan Paul International,1989.0,Pak Ji Won/Pak Ji-Won
2379,2379,Classic/Fiction, , ,Honest Yeom Hui-Do,Ally Hwang,All Walks Of Life (Korean Classic Stories: V. 4),Seoul Selection,2013.0, 
2380,2380,Classic/Fiction, , ,Hunjomak,Ally Hwang,All Walks Of Life (Korean Classic Stories: V. 4),Seoul Selection,2013.0, 
2381,2381,Classic/Fiction, , ,Old Servant Makdong,Ally Hwang,All Walks Of Life (Korean Classic Stories: V. 4),Seoul Selection,2013.0, 
2382,2382,Classic/Fiction, , ,Softened Cucumber,Ally Hwang,All Walks Of Life (Korean Classic Stories: V. 4),Seoul Selection,2013.0, 
2383,2383,Classic/Fiction, , ,The Man From Andong,Ally Hwang,All Walks Of Life (Korean Classic Stories: V. 4),Seoul Selection,2013.0, 
2384,2384,Classic/Fiction, , ,The Tale Of Jang Bok-Seon,Ally Hwang,All Walks Of Life (Korean Classic Stories: V. 4),Seoul Selection,2013.0, 
2385,2385,Classic/Fiction, , ,Wolchul Isalnd,Ally Hwang,All Walks Of Life (Korean Classic Stories: V. 4),Seoul Selection,2013.0, 
2386,2386,Classic/Fiction, , ,The Swordswoman,Kevin O'Rourke,Avengers & Artists (Korean Classic Stories: V.1),Seoul Selection,2013.0, 
2393,2393,Classic/Fiction, , ,"Ji-Eun, A Filial Daughter",Kevin O'Rourke,Avengers & Artists (Korean Classic Stories: V.1),Seoul Selection,2013.0, 
2394,2394,Classic/Fiction, , ,Lady Seol,Kevin O'Rourke,Avengers & Artists (Korean Classic Stories: V.1),Seoul Selection,2013.0, 
2397,2397,Classic/Fiction, , ,A Broken Promise,Kim Jung-eun,Lives Of Women (Korean Classic Stories: V.5),Seoul Selection,2013.0, 
2399,2399,Classic/Fiction, , ,Gil-Nyeo,Kim Jung-eun,Lives Of Women (Korean Classic Stories: V.5),Seoul Selection,2013.0, 
2401,2401,Classic/Fiction, , ,Her Dying Words,Kim Jung-eun,Lives Of Women (Korean Classic Stories: V.5),Seoul Selection,2013.0, 
2402,2402,Classic/Fiction, , ,Chun-Hyang,"Richard Rutt, Kim Chong-un",Virtuous Women:  Three Classic Korean Novels ,Royal Asiatic Society,1974.0, 
2403,2403,Classic/Fiction, , ,Lady Bu: Woman Warrior,Kim Jung-eun,Lives Of Women (Korean Classic Stories: V.5),Seoul Selection,2013.0, 
2404,2404,Classic/Fiction, , ,Lives Of Women,Kim Jung-eun,Lives Of Women (Korean Classic Stories: V.5),Seoul Selection,2013.0, 
2405,2405,Classic/Fiction, , ,The Daughter Of County Official Choe,Kim Jung-eun,Lives Of Women (Korean Classic Stories: V.5),Seoul Selection,2013.0, 
2406,2406,Classic/Fiction, , ,Queen Inhyŭn,"Richard Rutt, Kim Chong-un",Virtuous Women:  Three Classic Korean Novels ,Royal Asiatic Society,1974.0, 
2408,2408,Classic/Fiction, , ,The Widow,Kim Jung-eun,Lives Of Women (Korean Classic Stories: V.5),Seoul Selection,2013.0, 
2409,2409,Classic/Fiction, , ,The Stork Decides A Case,W.E. Skillend,Korean Classical Literature: An Anthology,Kegan Paul International,1989.0, 
2410,2410,Classic/Fiction, , ,The Story Of Sim Chong,W.E. Skillend,Korean Classical Literature: An Anthology,Kegan Paul International,1989.0, 
2411,2411,Classic/Fiction, , ,The Wrestling Bet,Kim Jung-eun,Lives Of Women (Korean Classic Stories: V.5),Seoul Selection,2013.0, 
